PRODUCT_ID,PRD_DETAIL
PD_00048,../productDetailImage/상세정보_앱코 가상 7.1 RGB 노이즈 캔슬링 마이크 게이밍 헤드셋 - 헤드셋 _ 쿠팡.jpg
PD_00049,../productDetailImage/상세정보_아이리버 버티컬 무선 마우스 - 무선마우스 _ 쿠팡.jpg
PD_00050,../productDetailImage/상세정보_아이닉 무선청소기 i50 아이타워 + 헤드브러시 + 침구 브러시 + 필터 2p 세트 i50 itower - 스틱청소기 _ 쿠팡.jpg
PD_00051,../productDetailImage/상세정보_아이닉 대용량 에어프라이어 16L + 7종 조리도구 - 오븐형 에어프라이어.jpg
PD_00052,../productDetailImage/상세정보_신일 제습기 20L 대용량 SDH-S530IF _ 북유럽 감성 디자인 _ 2025년 최신형 - 가정용.png
PD_00053,../productDetailImage/상세정보_신일 유선 프리미엄 BLDC 스탠드형 선풍기 SIF-K12TBG - 스탠드형.jpg
PD_00054,../productDetailImage/상세정보_신일 와이드 전기그릴 특대형 세트 - 전기그릴_팬 _ 쿠팡.jpg
PD_00055,../productDetailImage/상세정보_샤오미 스마트 무선 스탠드 선풍기2 Pro BPLDS03DM - 스탠드형.jpg
PD_00056,../productDetailImage/상세정보_샤오미 미지아 스마트 대용량 가습기 II 4.5L - 가습기_에어워셔 _ 쿠팡.png
PD_00057,../productDetailImage/상세정보_삼성전자 컬러 레이저 프린터 - 컬러레이저 복합기.png
PD_00058,../productDetailImage/상세정보_삼성전자 스탠드형 5엽 선풍기 화이트 SFN-X35GKWH - 스탠드형.jpg
PD_00059,../productDetailImage/상세정보_삼성전자 32인치 모니터 베젤리스 C32R500FH IPS 75Hz LED 컴퓨터 LC32R500FHKXKR - 게이밍 모니터 _ 쿠팡.png
PD_00060,../productDetailImage/상세정보_삼성 비스포크 제트 무선청소기 VS20A957E3W 화이트 - 진공청소기 _ 쿠팡.jpg
PD_00061,../productDetailImage/상세정보_브리츠 게이밍헤드셋 - 헤드셋 _ 쿠팡.jpg
PD_00062,../productDetailImage/상세정보_보아르 에이블 초고속 진공 블렌더 대용량 믹서기 VO-KI012 - 초고속블렌더 _ 쿠팡.jpg
PD_00063,../productDetailImage/상세정보_벤큐 HDR 아이케어 모니터 - 게이밍 모니터 _ 쿠팡.jpg
PD_00064,../productDetailImage/상세정보_맥스틸 게이밍 유선마우스 TRON G10PRO Reborn Matt - 유선마우스 _ 쿠팡.jpg
PD_00065,../productDetailImage/상세정보_매직쉐프 대형 전기 와이드그릴 풀세트 - 전기그릴_팬.jpg
PD_00066,../productDetailImage/상세정보_리오나인 FHD 240Hz 게이밍 모니터 - 게이밍 모니터 _ 쿠팡.jpg
PD_00067,../productDetailImage/상세정보_리빙웰 스텐 에어프라이어 대용량 16리터 AF16 - 오븐형 에어프라이어.jpg
PD_00068,../productDetailImage/상세정보_롯데알미늄 2023 NEW 에코제트 공기정화 제습기 WIFI - 가정용 _ 쿠팡.jpg
PD_00069,../productDetailImage/상세정보_로지텍 코리아 무선 마우스 MX ANYWHERE 3S MR0083 - 무선마우스 _ 쿠팡.jpg
PD_00070,../productDetailImage/상세정보_로지텍 USB 유선 일반형 키보드 - 유선키보드 _ 쿠팡.jpg
PD_00071,../productDetailImage/상세정보_로지텍 MX MASTER 3S 무선 마우스 + 마우스피트 세트 - 무선마우스 _ 쿠팡.jpg
PD_00072,../productDetailImage/상세정보_레이저 휴먼스케일 프로 클릭 무선 마우스 - 무선마우스 _ 쿠팡.jpg
PD_00073,../productDetailImage/상세정보_디베아 퓨어젯 헤어 드라이어 PUREJET 1600W - 드라이어.jpg
PD_00074,../productDetailImage/상세정보_듀플렉스 초음파 가습기 - 가습기_에어워셔 _ 쿠팡.jpg
PD_00075,../productDetailImage/상세정보_데오아 헤어 드라이기 BLDC 고속건조 미용실 음이온 휴대용 저소음 드라이어 KR-F08 - 드라이어.jpg
PD_00076,../productDetailImage/상세정보_녹스 커스텀키보드 기계식 LED 광축 방수 게이밍 키보드추천 PBT 유선키보드 - 유선키보드.png
PD_00077,../productDetailImage/상세정보_녹스 블랙홀 게이밍 헤드셋 7.1채널 노이즈 캔슬링 - 헤드셋 _ 쿠팡.jpg
PD_00078,../productDetailImage/상세정보_TCL 대용량 스마트 제습기 33.6L - 가정용 _ 쿠팡.jpg
PD_00079,../productDetailImage/상세정보_SK매직 원코크 얼음물 정수기 WPU-IAC414 방문설치 - 정수기 _ 쿠팡.jpg

